id,text
1,ور بی تو بامداد کنم روز محشر است
2,ساقی بیار جامی کز زهد توبه کردم
3,مرا هرآینه خاموش بودن اولی‌تر
4,تو ندانی که چرا در تو کسی خیره بماند
5,کاینان به دل ربودن مردم معینند
6,جان باختن آسان است اندر نظرت لیکن
7,گر خاک پای دوست خداوند شوق را
8,بی تو در دامن گلزار نخفتم یک شب
9,پرده بردار که هوش از تن عاقل برود
10,چرا نه در پی عزم دیار خود باشم
11,که زندگانی او در هلاک بودن اوست
12,که نه هر کو ورقی خواند معانی دانست
13,زلف آشفته و خوی کرده و خندان لب و مست
14,نسیم موی تو پیوند جان آگه ماست
15,من همان روز که روی تو بدیدم گفتم
16,اری اسامر لیلای لیله القمر
17,تو وفا گر کنی و گر نکنی
18,سودا مپز که آتش غم در دل تو نیست
19, سخت زیبا می‌روی یک بارگی
20,اگر چه رسم خوبان تندخوییست
21,کز حدیث من و حسن تو خبر می‌نرود
22,ای پسر جام می‌ام ده که به پیری برسی
23,بیا و گر همه دشنام می‌دهی شاید
24,من ترک وصال تو نگویم
25,نفسی بیا و بنشین سخنی بگوی و بشنو
26,سنگسان شو در قدم نی همچو آب
27,سر تا قدم وجود حافظ
28,گفتم ای غافل نبینی کوه با چندین وقار
29,راه ز پیش و دل ز پس واقعه‌ایست مشکلم
30,من تنک پوست نگفتم تو چنین سخت کمانی
31,غرقه حالی دست و پایی می‌زند
32,که هر که با تو به خلوت بود نه تنهاییست
33,من به خیال زاهدی گوشه‌نشین و طرفه آنک
34,سعدیا تسلیم فرمان شو که نیست
35,زانجا که پرده پوشی عفو کریم توست
36,در انتظار رویت ما و امیدواری
37,با محتسبم عیب مگویید که او نیز
38,جام مینایی می سد ره تنگ دلیست
39,زخم شمشیر غمت را ننهم مرهم کس
40,خطاست این که دل دوستان بیازاری
41,لیکن مجال گفت نباشد تو در سخن
42,کآیینه‌ایست جام جهان بین که آه از او
43,خود نبود و گر بود تا به قیامت آزری
44,دانند که در خرمن من بیشتر افتاد
45,جان از تو عزیزتر نباشد
46,هر دل که ز عشق توست خالی
47,گفت آن روز که این گنبد مینا می‌کرد
48,نزدی شاه رخ و فوت شد امکان حافظ
49,به یاد شخص نزارم که غرق خون دل است
50,بده ساقی می باقی که در جنت نخواهی یافت
51,تا به تماشای باغ میل چرا می‌کند
52,گفتم که نوش لعلت ما را به آرزو کشت
53,هر گلی بلبلی غزل خوان داشت
54,رهروی باید جهان سوزی نه خامی بی‌غمی
55, کس این کند که دل از یار خویش بردارد
56,میان این همه خواهندگان به من چه رسد
57,غرض ز مسجد و میخانه‌ام وصال شماست
58,یا شنیدی که در وجود آمد
59,بگذر از نام و ننگ خود حافظ
